,Cycle,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,0.46788452300951,0.390231692036499,0.38521718139443,5.21206802749869,6.01867538485198,6.27405649124732,0.321955271925719,0.29398174377619,0.284941931042307,3.41764681220977,3.54793274369528,2.86247640549809,0.3588383193606,0.234515846102466,0.238409171331046,1.84888867488772,1.73672522634353,1.85507608300007,0.30539326550111,0.222237693910597,0.233066270258134,0.879286220431855,0.864807342208203,1.03751858865644,0.225319340524545,0.220287987277568,0.213734181738301,0.506994146236729,0.550070714706472,0.470651128344675,0.184270515519216,0.168411755002509,0.156745249233106,0.292929302352419,0.287841960047231,0.268124471436839,0.157331150144355,0.126882670645046,0.148236313536174,0.17744660696796,0.186961123485522,0.185665566189377,0.15427426621696,0.121450747608146,0.130134840230043,0.139214031591136,0.148286723836982,0.160762336779161
,2,0.467456127252396,0.389034359574657,0.38456334581255,5.23389706951455,5.97517667550188,6.27288003131156,0.321204159672891,0.292651090920388,0.284020360739553,3.43037714168388,3.54192741665491,2.86041196710509,0.356958259189031,0.23319225880392,0.236324286334261,1.85207527545972,1.73664806743499,1.85121035898715,0.305164270479756,0.219582411307213,0.232078357864412,0.879070879400366,0.863410888661864,1.03875940234603,0.22573018391743,0.218664091306628,0.212813347938995,0.504314437707824,0.547322510472301,0.465341275394503,0.183816537659497,0.166764670761925,0.156351112907442,0.291982517204974,0.28609676838804,0.267432337145275,0.157332407087123,0.126914489294745,0.147030004714672,0.17720560319488,0.186304413075866,0.183736238026575,0.152461530489151,0.119647959626416,0.129940464384288,0.138725525889187,0.148089644985471,0.160237725109171
,3,0.466890630659507,0.390338166173498,0.384888694317041,5.26033781479079,5.99170225455731,6.27541459309826,0.321757308738094,0.293035763946812,0.284420749910462,3.44035588162635,3.5499249450435,2.85778468883418,0.358023000397942,0.234517282253567,0.237727818718206,1.85630742208627,1.74117792861356,1.84733603682329,0.302590824399375,0.220540743108244,0.232327870183518,0.878483367983313,0.864860799057829,1.04296828365865,0.225256991299112,0.22006440991323,0.213768278326063,0.506021347443641,0.548070492808437,0.468433010843499,0.1833751281692,0.166956122177972,0.156449738955378,0.293278200665875,0.286630544948046,0.266297785655636,0.156526511982072,0.126639620102253,0.146825880247882,0.176099389896023,0.186054651193644,0.184871482150547,0.152919762759434,0.120578058195702,0.129907511847865,0.138507529632911,0.148864803431799,0.159115612844981
,4,0.467414452957511,0.390362543333613,0.384745023039729,5.27289963912529,6.00260114913645,6.27664965079767,0.322657109033476,0.293831464559592,0.285720187148407,3.44852317502204,3.56225006661299,2.86047389771648,0.357464437422648,0.23407505549495,0.237402339752673,1.85931768579146,1.74373040266458,1.85402480828046,0.304869400788278,0.220964823059497,0.231691819084492,0.880472705758323,0.865627726323336,1.04530941012156,0.225462895485836,0.219313980004062,0.212435464017828,0.5069942425251,0.546814114685718,0.469342509317064,0.183816342815982,0.16679054824456,0.156415228606217,0.293118515382947,0.287627191739323,0.267107666990324,0.15659910854284,0.127738467429477,0.147707896173251,0.177179541732091,0.186054085635129,0.183121163277838,0.153183613565928,0.11937468961203,0.12955405431637,0.13826236188887,0.148218364370126,0.160097331442525
,5,0.468689147343227,0.392114150149303,0.385850218822318,5.27819137512827,6.01042106749356,6.27650784372082,0.32283246473265,0.294737469740227,0.285408037952783,3.44896031502193,3.56713840612209,2.86085851677633,0.358952568659233,0.235694135748825,0.237043754568627,1.85857262944326,1.745297613392,1.85959501625271,0.304346365005614,0.221122498560187,0.232759448103023,0.881828961592485,0.865353439069108,1.04663833865847,0.224845985846463,0.219138988867026,0.212557272958632,0.508193697988603,0.549859630328726,0.470673010833046,0.18341838504765,0.167542373676458,0.157669082575451,0.292866052550435,0.287594478794779,0.267107696159363,0.156811750075916,0.127067281677168,0.147618930037209,0.177421524650059,0.187974983778795,0.18512170400463,0.152750101221088,0.120248977246859,0.130359651699585,0.138725327547226,0.14941527054145,0.160430518948082
,6,0.467612860800518,0.391339973850509,0.385641134980737,5.27534570332611,6.01465651943816,6.27782153311617,0.321730741607901,0.294738425151011,0.286339771362039,3.44880298902534,3.57084262450518,2.86155986280787,0.358209334710805,0.234921413286376,0.238123866028896,1.85844301621735,1.74747445228371,1.86048891533217,0.304961021745502,0.220035769106471,0.23062518139677,0.881026142979626,0.865051979715492,1.04648923541563,0.224434231854528,0.218565273555082,0.213513049100576,0.508348996037471,0.548871208156134,0.469899660975013,0.183170027463091,0.167451321511237,0.156284946734996,0.293625704519679,0.28766515788813,0.267226366216493,0.156534610691291,0.126700539225176,0.147326549854808,0.176774117315587,0.187541824958999,0.184168449308038,0.153249700939585,0.12021786783055,0.130069640466801,0.138756474869829,0.148959965920911,0.160230974096386
,7,0.468034567401321,0.392668718881686,0.386267822637049,5.27934752801553,6.02716077877605,6.27608968761044,0.321403694619172,0.294477587530317,0.285439121232241,3.45149520643304,3.57670996599979,2.86198055978138,0.358953476080504,0.236136929202241,0.236972048763291,1.8600349997076,1.74899206079873,1.86264157723793,0.304049800162565,0.220274321239045,0.231941990043886,0.881873791304142,0.866939800832071,1.04622764268987,0.224660224379215,0.218965191408532,0.213679607698247,0.506952386149037,0.549110936878918,0.471695849097938,0.183170044065075,0.16806438694287,0.156349446837332,0.293120621324536,0.288377648125764,0.268127157200949,0.15656388795712,0.127250935158489,0.148180364766552,0.177612962649966,0.187357710050022,0.184804671188518,0.15271175997852,0.120402997116805,0.130842177842905,0.139381308019729,0.148537940181365,0.16059916043596
,8,0.468185546700305,0.393278854727706,0.386357323606881,5.28286679202387,6.03261844981074,6.27520412896232,0.32167943937075,0.294476608533419,0.28568433538906,3.45011556343782,3.57429700547042,2.86317180695381,0.358208438701298,0.235841334612888,0.238768756616118,1.85925075666772,1.74992652367738,1.86525324073887,0.303140064299121,0.220964838088511,0.232327319821219,0.881456683692162,0.867844271907214,1.04810940853441,0.224845985846463,0.219839039873645,0.213511833796686,0.507262605223585,0.550420868245442,0.472333086828071,0.183169188826226,0.166790573707745,0.157601716093831,0.293118552800049,0.288339682990694,0.269143380181963,0.15698019418425,0.127005538010095,0.147414488435444,0.178152197033012,0.187027771490907,0.184803562898386,0.152485432528905,0.120336825712312,0.130326507866599,0.138699007337535,0.149638810850788,0.161088551207567
,9,0.467837288295985,0.391209086336295,0.386175736893117,5.27761308970996,6.03356021215397,6.2748085359497,0.321379587849516,0.293419933085089,0.285902859714524,3.44958064636816,3.57775571007528,2.86276268390001,0.35698933292733,0.234773548719982,0.236790433283474,1.85949149927728,1.74909099679075,1.86553250204064,0.302979230518873,0.21993012969695,0.231987029330761,0.880856986902001,0.866748781761695,1.04643412443858,0.225051432833384,0.218089470781825,0.213012660814001,0.507686183792874,0.549111292552471,0.472776358271156,0.18316948774833,0.166131792294205,0.156415802639421,0.292109077795408,0.286915315127537,0.266829036323804,0.155588005660682,0.126395210235194,0.146854574500539,0.176125026930087,0.18601508211145,0.183803745388844,0.152710626743227,0.120785979801928,0.128653101406601,0.137935190178425,0.147538653243334,0.159904910478193
,10,0.467874851799207,0.391888239312048,0.386652654214427,5.28099811585972,6.03935863923092,6.27176028716574,0.320852795722447,0.294709278088696,0.285683040804649,3.45236482249371,3.57883577343455,2.86125650991065,0.35709174992174,0.234330684203383,0.237293927398814,1.86076955829086,1.74944492808274,1.86354688241419,0.30190897956946,0.219743277545358,0.230236964211753,0.881287493532905,0.86776226172334,1.04805477920064,0.223880012084136,0.218313094089572,0.211557317008967,0.507304508519207,0.550205146346066,0.47186770213254,0.182521296715499,0.166459904164593,0.156644164513857,0.292233196852038,0.287662853909776,0.267962280029162,0.156282907543486,0.12703566146236,0.146617764301793,0.17674648327023,0.186526975787496,0.183802587648343,0.151223646782638,0.119221104506167,0.130326052528725,0.138261729852155,0.148217393274425,0.159604606720298
