,Cycle,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,8.70361781841421,7.98597807831537,7.47901627512505,6.87345501578453,7.55510652993438,8.66624887224264,7.72262281826354,7.88081486377985,7.24352541320538,8.47628416462901,8.70302035773695,7.72109415261342,10.2691920311207,7.8901027302972,7.71390802911495,9.00066110584344,8.32012737460545,8.31563644385757,9.37810426805581,7.48091978448527,7.86569033136215,8.07565285661235,7.70469924301071,8.70924098363379,7.04681019805374,8.73649538152291,8.29427657170074,7.88088323545206,9.5357171914259,7.88863247889449,8.21590168833859,7.68974372310045,7.33680889191715,7.79826637312362,7.67868436937264,6.95355936791944,9.28130283811994,7.62030462208888,7.02338805802767,7.0401514350143,7.45625251521342,8.50379769501065,9.17227558227656,8.32309947769614,8.19734064937276,7.90261450813747,7.76875092664103,8.89013239613725
,2,8.72543450103349,7.98372073966705,7.48249873426603,6.89968435723711,7.59690537434236,8.69266231444118,7.74716804141115,7.94400672938648,7.2573548733703,8.47339211504116,8.78878141893412,7.75344455328848,10.3576144744333,8.00154136036855,7.73063454823642,8.98485369730094,8.33173616228782,8.38097477462533,9.42666043782008,7.5037274776391,7.80696678732638,8.13004881422589,7.78078259758581,8.75255633223573,7.05524814098704,8.74576375921884,8.3359475318987,7.90218045948836,9.50191843210434,7.93510020580526,8.26032980192903,7.69762910226525,7.36258589385052,7.78874914301947,7.67409347628466,7.06009337770237,9.39696454472148,7.61612910716723,7.02121645268748,7.04414971936825,7.50266431142962,8.61189450527834,9.20232215397259,8.38654647062873,8.23768246554245,7.94212923954106,7.75463570068861,9.02508876819295
,3,8.74123406345746,7.92612486103902,7.42436518622567,6.86457585007637,7.56703581282207,8.7030929077234,7.74774098889064,7.87630281354907,7.22482926762603,8.35384360591387,8.74380751088843,7.74668568336351,10.4219565449509,7.93081145423448,7.67623439913329,8.8800484367846,8.2214457998397,8.37191850340187,9.32053424403741,7.47165559908833,7.71767310011654,8.06396804210138,7.73877829471964,8.62740895361139,7.06927127324395,8.78243120842503,8.33328221305095,7.90687272288116,9.41412305722763,7.90006829861868,8.29709676562691,7.6518606539821,7.41326431981614,7.82125080498647,7.63133515309795,7.09861923488262,9.4280587324729,7.56488537439072,7.05712100061769,7.07398790809594,7.47093194468928,8.64606464240252,9.21690677992951,8.42298304070755,8.10895004538088,7.92711567822953,7.64513183594132,9.02320310004411
,4,8.74640339917817,7.90032639514373,7.4155646397286,6.83229137383015,7.52605857367023,8.69720988687116,7.74150234398587,7.78186106216259,7.229609199843,8.32736045986662,8.65473234547029,7.74223803711129,10.4294425452697,7.86995877372197,7.6931256895795,8.8871099529824,8.21376439113086,8.36571873017325,9.29696177449252,7.49397009244396,7.7107055385593,8.04320922153338,7.73553414045159,8.63663289044547,7.07364733190679,8.83998618274618,8.36516184594589,7.98598558552237,9.44741184458541,7.85133152781347,8.31717981629002,7.64111509356677,7.43631847791097,7.84911680172004,7.61453552817965,7.10553738666683,9.43171578633184,7.55131631601078,7.08146478295576,7.09588392760577,7.44074197199355,8.65286775169384,9.22577102951744,8.35310032996962,8.11414517175669,7.91326867776232,7.60610859154147,9.00183751903699
,5,8.74831401844579,7.8813365688,7.42180755450416,6.83055839184974,7.49082795565368,8.69043678788469,7.74022184402948,7.71125200674954,7.24070056577401,8.32231820434972,8.64296271705813,7.73838476486292,10.4259955671476,7.86932074615546,7.70373087962179,8.90256150010811,8.21449035723355,8.36709410182795,9.3117463894307,7.51856758694833,7.72290549064165,8.05836663822134,7.74954200973281,8.66687075844138,7.06833051769484,8.8599708664057,8.3806262287996,8.01851593067517,9.46490652345075,7.83374086200207,8.33067994611026,7.64395620313728,7.45041658633868,7.86484815620546,7.635975195891,7.1073198992019,9.43110832251128,7.57811613179785,7.09403591170303,7.11129451355442,7.45247150984864,8.64718682091505,9.23095470997448,8.38892833971003,8.13239934754795,7.88874466727055,7.64393244180214,8.98853668039333
,6,8.74474128655957,7.89161082625695,7.42430323820184,6.83840238216894,7.47539408731161,8.68950957247356,7.74318851279218,7.69262930859902,7.2519383464813,8.32839176037488,8.65089017593532,7.73572743076294,10.4253963117829,7.87241958155094,7.71276360143695,8.9143631701598,8.21386542804292,8.37132948760168,9.32354223083297,7.54057025104656,7.73385770032511,8.07096346210002,7.76190136176709,8.68218952486835,7.07720651714411,8.87179038287308,8.39062387697139,8.03283023742763,9.47879374041059,7.82548904707353,8.34062435652689,7.67291442245438,7.45720521944575,7.87425283240222,7.64325726035703,7.105861462511,9.42909895491688,7.58874660946444,7.10195319409595,7.11980627311841,7.4606704176735,8.64723913975869,9.23588296922313,8.40393792625425,8.1379264955897,7.87873293132174,7.66453272549972,8.97647031208914
,7,8.7383997811565,7.90420604570272,7.42566197435337,6.83658900865854,7.46268652817206,8.68647722788287,7.7444204333882,7.70322488551533,7.25649991239705,8.33278714325049,8.66678033862113,7.73509028063256,10.429736724564,7.87866396412461,7.71768555067034,8.92154561749727,8.21323114118049,8.37546003036283,9.3327076393117,7.56502353595433,7.73910351290197,8.08008795500099,7.76982525744716,8.69359202380071,7.08708641277007,8.87859234983847,8.39905365979349,8.04217597748104,9.4930705206093,7.82543987852049,8.34219220928679,7.6875964026825,7.46345492616403,7.8818386691211,7.64797522511079,7.10620433758961,9.4262534938545,7.59809144381908,7.10480078489354,7.12612199710803,7.46687554657413,8.65157859288416,9.23804614285362,8.41270144279907,8.13877504949685,7.88078500190327,7.67427357789038,8.97046646082459
,8,8.72789281407914,7.91571722853007,7.42629714008642,6.83859263485476,7.45984019328552,8.68451736468749,7.74568823194392,7.71772251957883,7.26134160828587,8.3342402137916,8.67463392490861,7.73263787860548,10.4327551622484,7.88831439270273,7.71971916169345,8.92769340585248,8.22027659973273,8.37837046603777,9.33878367117549,7.59159466295597,7.74346618026762,8.08775149948942,7.77736303681756,8.7028241436813,7.09037115473686,8.88281401320737,8.40581410026387,8.05050060135353,9.50445983474712,7.82539946220591,8.33949316323646,7.69423995942854,7.46621150508656,7.8852889035422,7.64962368948521,7.10333048087531,9.42549941565791,7.60728880372007,7.10597885199977,7.13293573160409,7.46986492919874,8.65307618683959,9.23840342134621,8.42060612854059,8.13923403438822,7.89227528751831,7.68028353403352,8.96253042339936
,9,8.71857076329637,7.92172270950159,7.42575614483322,6.83639199845009,7.45554289017535,8.68111636720958,7.74515842362008,7.72781295077336,7.26520032512342,8.33583594211271,8.67920823444392,7.73014419058841,10.4405471383144,7.89852290911132,7.72163020519621,8.93493333743602,8.22432477976955,8.38258780897446,9.34561721942113,7.61729446216104,7.74982627698015,8.09428558818748,7.78450560658706,8.71211252247868,7.09329110168393,8.88803963794633,8.41106542780384,8.05680393911637,9.51554289777548,7.834379913349,8.33939245658405,7.69938929553349,7.46868551932919,7.89012266539591,7.65272941657417,7.10613164097978,9.42349821396579,7.61067946495986,7.10665467076704,7.13586972150771,7.47065427978827,8.65655178122105,9.23947936325589,8.42696504119571,8.13901729614455,7.89817047756196,7.68730980779575,8.96291694061786
,10,8.70883768254835,7.92485146279234,7.42332454942338,6.83275794565257,7.45234066516717,8.67805467006133,7.7425717038532,7.73376517575641,7.26868750182131,8.33543608015608,8.67917651557916,7.72920729278468,10.4406269319922,7.90155523359051,7.72223324049656,8.93901117061031,8.2261099023451,8.3836687970862,9.3488650703898,7.62158447796271,7.75190703716835,8.09996433184022,7.79003793593231,8.71713622585106,7.09491207715696,8.89087804197999,8.41352457852285,8.06003300641143,9.52130761594467,7.83863547576198,8.33731597057642,7.70346579002014,7.46821398912419,7.89357535653291,7.65113324701208,7.10504234087262,9.42355573487573,7.61568579151665,7.10505927448071,7.13811777451414,7.47210691587561,8.65892990172591,9.23784330238665,8.42758822633294,8.13804740696353,7.90082200686623,7.68989945144216,8.96498055807236
